Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
Chocolate Bayou,CB,07/05/21,R,484K,,50,0,0.46,0,0,,16918,0,0705.CB-2,1409.83,Negative,Composite,,,,F3,1532.68,0
Chocolate Bayou,CB,07/05/21,R,E484 wild-type,,50,0.77,1.66,0.27,2550.61,,16918,5,0705.CB-2,1849.91,Positive,Composite,,,,F3,5543.45,896.71
Chocolate Bayou,CB,07/05/21,R,417T,,50,0,0.46,0,0,,16918,0,0705.CB-2,1485.82,Negative,Composite,,,,F3,1532.68,0
Chocolate Bayou,CB,07/05/21,R,K417 wild-type,,50,7.2,9.47,5.33,24005.59,,16918,47,0705.CB-2,1467.28,Positive,Composite,,,,F3,31566.37,17763.84
Chocolate Bayou,CB,07/05/21,R,417N,,50,0.15,0.73,0.01,511.51,,16918,1,0705.CB-2,1770.1,Negative,Composite,,,,F3,2443.26,21.48
Clinton Park,CP,07/05/21,R,484K,,50,0,0.45,0,0,,17143,0,0705.CP-1,1409.83,Negative,Composite,,,,A4,1508.09,0
Clinton Park,CP,07/05/21,R,E484 wild-type,,50,0,0.45,0,0,,17143,0,0705.CP-1,1849.91,Negative,Composite,,,,A4,1507.91,0
Clinton Park,CP,07/05/21,R,417T,,50,0,0.45,0,0,,17143,0,0705.CP-1,1485.82,Negative,Composite,,,,A4,1508.09,0
Clinton Park,CP,07/05/21,R,K417 wild-type,,50,0.3,0.97,0.05,1006.59,,17143,2,0705.CP-1,1467.28,Negative,Composite,,,,A4,3224.51,152.49
Clinton Park,CP,07/05/21,R,417N,,50,0,0.45,0,0,,17143,0,0705.CP-1,1770.1,Negative,Composite,,,,A4,1508.09,0
Clinton Park,CP,07/05/21,R,484K,,50,0,0.45,0,0,,17153,0,0705.CP-2,1409.83,Negative,Composite,,,,B4,1507.12,0
Clinton Park,CP,07/05/21,R,E484 wild-type,,50,0,0.45,0,0,,17153,0,0705.CP-2,1849.91,Negative,Composite,,,,B4,1507.03,0
Clinton Park,CP,07/05/21,R,417T,,50,0,0.45,0,0,,17153,0,0705.CP-2,1485.82,Negative,Composite,,,,B4,1507.12,0
Clinton Park,CP,07/05/21,R,K417 wild-type,,50,0.15,0.72,0.01,502.99,,17153,1,0705.CP-2,1467.28,Negative,Composite,,,,B4,2402.52,21.12
Clinton Park,CP,07/05/21,R,417N,,50,0,0.45,0,0,,17153,0,0705.CP-2,1770.1,Negative,Composite,,,,B4,1507.12,0
Easthaven,EH,07/05/21,R,484K,,50,0,0.4,0,0,,19385,0,0705.EH-1,1409.83,Negative,Composite,,,,C4,1334.12,0
Easthaven,EH,07/05/21,R,E484 wild-type,,50,0,0.4,0,0,,19385,0,0705.EH-1,1849.91,Negative,Composite,,,,C4,1333.5,0
Easthaven,EH,07/05/21,R,417T,,50,0,0.4,0,0,,19385,0,0705.EH-1,1485.82,Negative,Composite,,,,C4,1334.12,0
Easthaven,EH,07/05/21,R,K417 wild-type,,50,1.2,2.18,0.57,4006.45,,19385,9,0705.EH-1,1467.28,Positive,Composite,,,,C4,7259.28,1910.4
Easthaven,EH,07/05/21,R,417N,,50,0,0.4,0,0,,19385,0,0705.EH-1,1770.1,Negative,Composite,,,,C4,1334.12,0
Easthaven,EH,07/05/21,R,484K,,50,0,0.42,0,0,,18277,0,0705.EH-2,1409.83,Negative,Composite,,,,D4,1415.2,0
Easthaven,EH,07/05/21,R,E484 wild-type,,50,0.28,0.91,0.04,944.13,,18277,2,0705.EH-2,1849.91,Negative,Composite,,,,D4,3024.41,143.03
Easthaven,EH,07/05/21,R,417T,,50,0,0.42,0,0,,18277,0,0705.EH-2,1485.82,Negative,Composite,,,,D4,1415.2,0
